model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam++_base,68,32,0.001,,8,,test,14.931968841552735,0.8128140703517588,0.35658914728682173,0.4107142857142857,0.3817427385892116,66,83,601,46,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f9_ep48,9,48,dev,7.639468727111816,0.7675879396984925,0.3165829145728643,0.5625,0.4051446945337621,49,136,548,63,1200
cam++_base,68,32,0.001,,9,,test,6.3396083024831915,0.8136419001218027,0.3939393939393939,0.5508474576271186,0.45936395759717313,53,100,603,65,1200
cam++_base,68,32,0.001,cam++_base_68_h1200_bs32_lr0.001_f10_ep14,10,14,dev,7.497501382460961,0.8185140073081608,0.40372670807453415,0.5508474576271186,0.4659498207885305,53,96,607,65,1200
cam++_base,68,32,0.001,,10,,test,7.979491009712219,0.8303571428571429,0.38961038961038963,0.6060606060606061,0.4743083003952569,39,94,591,60,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f1_ep116,1,116,dev,7.765322666168213,0.8762755102040817,0.51,0.5151515151515151,0.5125628140703518,48,49,636,51,1200
cam++_base,102,32,0.001,,1,,test,8.94849867105484,0.8505025125628141,0.5638297872340425,0.40458015267175573,0.4711111111111111,78,41,624,53,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f2_ep18,2,18,dev,11.59871199607849,0.8203517587939698,0.4552238805970149,0.46564885496183206,0.46037735849056605,70,73,592,61,1200
cam++_base,102,32,0.001,,2,,test,13.066714690281795,0.7757352941176471,0.4215686274509804,0.5695364238410596,0.4845070422535211,65,118,547,86,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f3_ep99,3,99,dev,11.184978171036793,0.8014705882352942,0.4708994708994709,0.5894039735099338,0.5235294117647059,62,100,565,89,1200
cam++_base,102,32,0.001,,3,,test,10.11596957206726,0.8295454545454546,0.45864661654135336,0.49193548387096775,0.47470817120622566,63,72,596,61,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f4_ep100,4,100,dev,11.818272590637207,0.8383838383838383,0.4830508474576271,0.4596774193548387,0.47107438016528924,67,61,607,57,1200
cam++_base,102,32,0.001,,4,,test,14.511406416296959,0.8198198198198198,0.4672131147540984,0.4318181818181818,0.44881889763779526,75,65,580,57,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f5_ep8,5,8,dev,17.996888860464097,0.8532818532818532,0.618421052631579,0.3560606060606061,0.4519230769230769,85,29,616,47,1200
cam++_base,102,32,0.001,,5,,test,15.483694933927977,0.8478527607361963,0.38271604938271603,0.29523809523809524,0.3333333333333333,74,50,660,31,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f6_ep110,6,110,dev,12.795182303740429,0.8184049079754602,0.34306569343065696,0.44761904761904764,0.3884297520661157,58,90,620,47,1200
cam++_base,102,32,0.001,,6,,test,11.621482491493225,0.8306148055207027,0.4132231404958678,0.43859649122807015,0.42553191489361697,64,71,612,50,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f7_ep29,7,29,dev,18.125707969665527,0.8531994981179423,0.4810126582278481,0.3333333333333333,0.3937823834196891,76,41,642,38,1200
cam++_base,102,32,0.001,,7,,test,23.33233024597168,0.8050632911392405,0.415929203539823,0.34814814814814815,0.3790322580645161,88,66,589,47,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f8_ep88,8,88,dev,18.604675769805908,0.8075949367088607,0.42342342342342343,0.34814814814814815,0.38211382113821135,88,64,591,47,1200
cam++_base,102,32,0.001,,8,,test,15.37214367866516,0.8140703517587939,0.36153846153846153,0.41964285714285715,0.3884297520661157,65,83,601,47,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f9_ep70,9,70,dev,8.33817614555359,0.7751256281407035,0.32275132275132273,0.5446428571428571,0.4053156146179402,51,128,556,61,1200
cam++_base,102,32,0.001,,9,,test,7.02318003315192,0.8319123020706456,0.43333333333333335,0.5508474576271186,0.48507462686567165,53,85,618,65,1200
cam++_base,102,32,0.001,cam++_base_102_h1200_bs32_lr0.001_f10_ep25,10,25,dev,9.710780118520443,0.8404384896467723,0.44537815126050423,0.4491525423728814,0.44725738396624476,65,66,637,53,1200
cam++_base,102,32,0.001,,10,,test,9.726984081268311,0.8482142857142857,0.41228070175438597,0.47474747474747475,0.44131455399061037,52,67,618,47,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f1_ep147,1,147.0,dev,7.7608657503128065,0.8698979591836735,0.4857142857142857,0.5151515151515151,0.5,48,54,631,51,1200
cam++_base,136,32,0.001,,1,,test,8.929718306064606,0.8467336683417085,0.5463917525773195,0.4045801526717557,0.4649122807017544,78,44,621,53,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f2_ep1,2,1.0,dev,9.076384801864624,0.8228643216080402,0.4642857142857143,0.4961832061068702,0.4797047970479705,66,75,590,65,1200
cam++_base,136,32,0.001,,2,,test,10.407198440570095,0.7745098039215687,0.42028985507246375,0.5761589403973509,0.4860335195530726,64,120,545,87,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f3_ep68,3,68.0,dev,10.216874289971132,0.8014705882352942,0.4705882352941176,0.5827814569536424,0.5207100591715976,63,99,566,88,1200
cam++_base,136,32,0.001,,3,,test,9.336622467041016,0.827020202020202,0.4518518518518518,0.4919354838709678,0.471042471042471,63,74,594,61,1200
cam++_base,136,32,0.001,cam++_base_136_h1200_bs32_lr0.001_f4_ep150,4,150.0,dev,11.639414472579956,0.8333333333333334,0.46875,0.4838709677419355,0.4761904761904762,64,68,600,60,1200
